A001,A,90,150101
A002,A,90,150101
A003,A,90,150101
A004,A,90,150101
A005,A,90,150101
A006,A,90,150101
A007,A,90,150101
A008,A,90,150101
A009,A,90,150101
A010,A,90,150101
A011,A,90,150101
A012,A,90,150101
A013,A,90,150101
A014,A,90,150101
A015,A,90,150101
A016,A,90,150101
A017,A,90,150101
A018,A,90,150101
A019,A,90,150101
A020,A,90,150101
B001,B,60,150101
B002,B,60,150101
B003,B,60,150101
B004,B,60,150101
B005,B,60,150101
B006,B,60,150101
B007,B,60,150101
B008,B,60,150101
B009,B,60,150101
B010,B,60,150101
B011,B,60,150101
B012,B,60,150101
B013,B,60,150101
B014,B,60,150101
B015,B,60,150101
B016,B,60,150101
B017,B,60,150101
B018,B,60,150101
B019,B,60,150101
B020,B,60,150101
C001,C,60,150101
C002,C,60,150101
C003,C,60,150101
C004,C,60,150101
C005,C,60,150101
C006,C,60,150101
C007,C,60,150101
C008,C,60,150101
C009,C,60,150101
C010,C,60,150101
C011,C,60,150101
C012,C,60,150101
C013,C,60,150101
C014,C,60,150101
C015,C,60,150101
C016,C,60,150101
C017,C,60,150101
C018,C,60,150101
C019,C,60,150101
C020,C,60,150101
A021,A,90,130101
A022,A,90,130101
A023,A,90,130101
A024,A,90,130101
A025,A,90,130101
A026,A,90,130101
A027,A,90,130101
A028,A,90,130101
A029,A,90,130101
A030,A,90,130101
A031,A,90,130101
A032,A,90,130101
A033,A,90,130101
A034,A,90,130101
A035,A,90,130101
A036,A,90,130101
A037,A,90,130101
A038,A,90,130101
A039,A,90,130101
A040,A,90,130101
B021,B,60,130101
B022,B,60,130101
B023,B,60,130101
B024,B,60,130101
B025,B,60,130101
B026,B,60,130101
B027,B,60,130101
B028,B,60,130101
B029,B,60,130101
B030,B,60,130101
B031,B,60,130101
B032,B,60,130101
B033,B,60,130101
B034,B,60,130101
B035,B,60,130101
B036,B,60,130101
B037,B,60,130101
B038,B,60,130101
B039,B,60,130101
B040,B,60,130101
C021,C,60,130101
C022,C,60,130101
C023,C,60,130101
C024,C,60,130101
C025,C,60,130101
C026,C,60,130101
C027,C,60,130101
C028,C,60,130101
C029,C,60,130101
C030,C,60,130101
C031,C,60,130101
C032,C,60,130101
C033,C,60,130101
C034,C,60,130101
C035,C,60,130101
C036,C,60,130101
C037,C,60,130101
C038,C,60,130101
C039,C,60,130101
C040,C,60,130101
A041,A,90,040101
A042,A,90,040101
A043,A,90,040101
A044,A,90,040101
A045,A,90,040101
A046,A,90,040101
A047,A,90,040101
A048,A,90,040101
A049,A,90,040101
A050,A,90,040101
A051,A,90,040101
A052,A,90,040101
A053,A,90,040101
A054,A,90,040101
A055,A,90,040101
A056,A,90,040101
A057,A,90,040101
A058,A,90,040101
A059,A,90,040101
A060,A,90,040101
B041,B,60,040101
B042,B,60,040101
B043,B,60,040101
B044,B,60,040101
B045,B,60,040101
B046,B,60,040101
B047,B,60,040101
B048,B,60,040101
B049,B,60,040101
B050,B,60,040101
B051,B,60,040101
B052,B,60,040101
B053,B,60,040101
B054,B,60,040101
B055,B,60,040101
B056,B,60,040101
B057,B,60,040101
B058,B,60,040101
B059,B,60,040101
B060,B,60,040101
C041,C,60,040101
C042,C,60,040101
C043,C,60,040101
C044,C,60,040101
C045,C,60,040101
C046,C,60,040101
C047,C,60,040101
C048,C,60,040101
C049,C,60,040101
C050,C,60,040101
C051,C,60,040101
C052,C,60,040101
C053,C,60,040101
C054,C,60,040101
C055,C,60,040101
C056,C,60,040101
C057,C,60,040101
C058,C,60,040101
C059,C,60,040101
C060,C,60,040101
